problema,quantidade_pontos,tempo_prim,tempo_kruskal,custo_prim,custo_kruskal
2522 - Rede do DINF,50,0.0005982001312077045,0.0007882998324930668,49330.657314206794,49330.65731420678
2522 - Rede do DINF,100,0.0024442998692393303,0.004119399935007095,67855.7899187606,67855.78991876058
2522 - Rede do DINF,150,0.005789800081402063,0.010014000348746777,82231.35879787504,82231.35879787503
2522 - Rede do DINF,200,0.010846800170838833,0.017052400391548872,96938.21096688235,96938.21096688227
2522 - Rede do DINF,250,0.016492299735546112,0.027966999914497137,106200.74723695705,106200.747236957
2522 - Rede do DINF,300,0.020246800035238266,0.04424369987100363,112693.99669809591,112693.99669809591
1552 - Resgate em Queda Livre,50,0.0005405000410974026,0.0007993001490831375,459.1544036987691,459.15440369876904
1552 - Resgate em Queda Livre,100,0.0024176002480089664,0.00369460042566061,647.9999262135245,647.9999262135245
1552 - Resgate em Queda Livre,150,0.005491300020366907,0.008718099910765886,795.4611688235241,795.4611688235242
1552 - Resgate em Queda Livre,200,0.013734100386500359,0.027131299953907728,923.9147593493277,923.9147593493274
1552 - Resgate em Queda Livre,250,0.018343199975788593,0.03333760006353259,1031.8715618068493,1031.8715618068495
1552 - Resgate em Queda Livre,300,0.023003599606454372,0.08632300002500415,1150.1166507504013,1150.1166507504015
